,pop,depth,cell.type,cell.type.idx,x,y
cell282,4_1,0.121212121212121,4_1_1,7,4,13
cell283,4_5,0.114864864864865,4_5_1,1,3,21
cell284,4_5,0.108108108108108,4_5_1,1,14,27
cell285,4_1,0.101010101010101,4_1_1,7,13,25
cell286,4_5,0.0945945945945946,4_5_1,1,22,18
cell287,4_5,0.0878378378378378,4_5_1,1,4,22
cell288,4_5,0.0810810810810811,4_5_1,1,14,6
cell289,4_5,0.0743243243243243,4_5_1,1,18,26
cell290,4_5,0.0675675675675676,4_5_1,1,22,19
cell291,4_5,0.0608108108108108,4_5_1,1,14,5
cell292,4_1,0.0538720538720539,4_1_1,7,27,11
cell293,4_1,0.0471380471380471,4_1_1,7,6,22
cell294,4_1,0.0404040404040404,4_1_1,7,5,12
cell295,4_1,0.0336700336700337,4_1_1,7,8,9
cell296,4_5,0.027027027027027,4_5_1,1,11,9
cell297,4_1,0.0202020202020202,4_1_1,7,13,5
cell298,4_5,0.0135135135135135,4_5_1,1,4,23
cell299,4_5,0.00675675675675676,4_5_1,1,22,8
cell300,4_5,0,4_5_1,1,14,8
