GeneNames,BSP,Hotspot,Giotto_kmeans,Giotto_rank,Moran's I,SpatialDE,SPARK
PECAM1,0.0299836065081444,2.752811927094907e-225,1.88931962205753e-32,2.6990280315107603e-32,0.0009756097560975,0.0003447327287176,1.73646963301729e-15
PELI1,0.718388855138952,0.0054736499317662,0.0331485880337718,0.0377586565682698,0.331707317073171,0.261561471047229,0.0688727725279678
PIM1,0.785748425695748,3.9810891762696845e-27,0.0004168707845625,0.0004857750464737,0.0009756097560975,0.1053592828454024,1.63897933283675e-08
POLR2J3,0.0121293333608509,0.5184161503576469,0.126211097344561,0.0188681342448872,0.0009756097560975,0.0008074042301194,0.122900316328886
POSTN,0.0003424466867046,0.0,9.43241915960204e-07,5.52992383575249e-85,0.0009756097560975,0.1701154829431087,1.73646963301729e-15
PPARG,0.388242685891928,5.738170960255678e-67,7.19883206381229e-17,8.540987194353561e-17,0.0009756097560975,4.881313131477329e-09,1.73646963301729e-15
PRDM1,0.468589861725362,0.0,8.34716777198109e-50,1.4375677829523e-49,0.0009756097560975,0.0014181700850687,1.73646963301729e-15
PTGDS,0.662836065383978,4.045828540527301e-45,2.65044016466881e-08,3.07210109995702e-08,0.0009756097560975,6.16818104195835e-05,1.82365945634694e-15
PTN,0.864096160680149,6.508030445252544e-17,1.73782963921213e-07,2.06247913225176e-07,0.0009756097560975,3.2706223284276954e-05,2.6715208220516198e-11
PTPRC,0.152612298120533,0.0,1.0966792013034201e-54,1.93531623759427e-54,0.0009756097560975,0.0717246341573676,1.73646963301729e-15
PTRHD1,0.567452445502215,0.3650300854208275,0.0390422400165822,0.173410805329891,0.694634146341463,5.9002498150765154e-05,1.0
QARS,0.205630648158525,0.0647871146937136,0.0089731267702713,0.975166692574589,0.784390243902439,0.273076637580021,1.0
RAB30,0.770911919503603,1.4884413465535174e-44,0.0509759303451454,0.0583540255266796,0.0009756097560975,0.0033543171600337,8.48500548324027e-10
RAMP2,0.207174493880045,0.0,9.9978181376054e-122,9.9978181376054e-122,0.0009756097560975,9.160226055688094e-07,1.73646963301729e-15
RAPGEF3,0.83429449530014,1.4565531619341918e-07,3.38659598408534e-05,4.02158273110134e-05,0.0009756097560975,0.0001225250518483,0.0013303677963723
RHOH,0.350876856815799,0.3348147549452098,6.766255199669091e-09,0.749669362965567,0.529756097560976,8.856221188656507e-05,1.0
RORC,0.9182439190243,0.286335248856969,0.093813677903578,0.105095069550211,0.72780487804878,0.2142685674414123,1.0
RTKN2,0.408667313310544,3.447655834984718e-09,5.39489049002499e-17,6.41805937606421e-17,0.0009756097560975,0.4514203696683009,2.3735953437964204e-09
RUNX1,0.155807647390944,2.656147220304125e-77,0.0115890034236148,7.799836251603219e-11,0.0009756097560975,0.4547721374566507,1.82365945634694e-15
S100A14,0.0970298871195476,4.1831127934804666e-11,7.458693987383339e-26,0.0002026702512305,0.0009756097560975,0.0006721768559899,4.0032384630181e-06
S100A4,0.319768353792784,4.3071176289505965e-263,2.8986828583500302e-15,3.4421858942906602e-15,0.0009756097560975,0.0172569702847551,1.82365945634694e-15
SCD,0.0001041978546421,6.615807097168696e-183,8.103199694548789e-30,1.44235068219926e-23,0.0009756097560975,0.1395254834667456,1.73646963301729e-15
SDC4,0.640171716786537,0.1007037281642148,0.0001390377097977,0.0001651815526656,0.611707317073171,0.0554024934381059,1.0
