,x,y,group,foldchange
Loc256,0.372866708086804,0.713207269553095,I,1
Loc257,0.934691370232031,0.750814122147858,D,1
Loc258,0.523986077867448,0.170225525507703,E,1
Loc259,0.317144671687856,0.214822159614414,E,1
Loc260,0.277966029476374,0.136855290038511,A,1
Loc261,0.787540507735685,0.320704787038267,F,1
Loc262,0.702462512534112,0.659653313225135,D,1
Loc263,0.165027638664469,0.458246603375301,C,1
Loc264,0.0644575387705117,0.221783839398995,A,1
Loc265,0.754705621628091,0.0496916156262159,A,1
Loc266,0.620410033036023,0.842967495322227,H,1
Loc267,0.169576766667888,0.460355976829305,C,1
Loc268,0.0622140523046255,0.044669063994661,A,1
Loc269,0.109029268613085,0.330020109890029,C,1
Loc270,0.381716351723298,0.350482023321092,E,1
Loc271,0.169310914585367,0.236220998689532,A,1
