dataset	optimizer_seed	normalized_radius	centered_l
SimSpace	6	0.23958333333333331	-0.02364239528721135
SimSpace	6	0.25	-0.02607917678574606
SimSpace	7	0.0	0.0
SimSpace	7	0.010416666666666666	-0.0015217044667056277
SimSpace	7	0.020833333333333332	9.554055750716356e-05
SimSpace	7	0.03125	0.0006617302209365322
SimSpace	7	0.041666666666666664	0.0008161150203047848
SimSpace	7	0.05208333333333333	0.0007787491520694287
SimSpace	7	0.0625	0.0006160797670480139
SimSpace	7	0.07291666666666666	0.00020997596467688118
SimSpace	7	0.08333333333333333	-0.00039091699477893094
SimSpace	7	0.09375	-0.0011564996452772397
SimSpace	7	0.10416666666666666	-0.00208454752992486
SimSpace	7	0.11458333333333333	-0.003046216526019968
SimSpace	7	0.125	-0.004364593140560272
SimSpace	7	0.13541666666666666	-0.005803247224146185
SimSpace	7	0.14583333333333331	-0.0072191708611056005
SimSpace	7	0.15625	-0.008904743080650618
SimSpace	7	0.16666666666666666	-0.010564312490661365
SimSpace	7	0.17708333333333331	-0.012351443534099421
SimSpace	7	0.1875	-0.014252478580007055
SimSpace	7	0.19791666666666666	-0.01620991262212307
SimSpace	7	0.20833333333333331	-0.01815244846623698
SimSpace	7	0.21875	-0.020291127115273477
SimSpace	7	0.22916666666666666	-0.022471633346580866
SimSpace	7	0.23958333333333331	-0.024749295467666188
SimSpace	7	0.25	-0.026992305365135777
SimSpace	8	0.0	0.0
SimSpace	8	0.010416666666666666	-0.0015428603650928917
SimSpace	8	0.020833333333333332	-2.952649887805192e-05
SimSpace	8	0.03125	0.0006496536371570841
SimSpace	8	0.041666666666666664	0.0008697399758021487
SimSpace	8	0.05208333333333333	0.0009326485750825245
SimSpace	8	0.0625	0.0006470292791106724
SimSpace	8	0.07291666666666666	0.0003031018442792577
SimSpace	8	0.08333333333333333	-0.0003873811687525458
SimSpace	8	0.09375	-0.0010372086218002063
SimSpace	8	0.10416666666666666	-0.00193850782327451
SimSpace	8	0.11458333333333333	-0.0029378599710756376
SimSpace	8	0.125	-0.004096985185094701
SimSpace	8	0.13541666666666666	-0.005301124821205927
SimSpace	8	0.14583333333333331	-0.006669528880558662
SimSpace	8	0.15625	-0.008104126386916405
SimSpace	8	0.16666666666666666	-0.009610524299780987
SimSpace	8	0.17708333333333331	-0.011282972883663006
SimSpace	8	0.1875	-0.0129367695555819
SimSpace	8	0.19791666666666666	-0.014685571237288114
SimSpace	8	0.20833333333333331	-0.01654714622905848
SimSpace	8	0.21875	-0.018568718121064476
SimSpace	8	0.22916666666666666	-0.02058188019808907
SimSpace	8	0.23958333333333331	-0.022763276293330303
SimSpace	8	0.25	-0.02494479865467883
SimSpace	9	0.0	0.0
SimSpace	9	0.010416666666666666	-0.0011957230648120733
SimSpace	9	0.020833333333333332	0.00035947824275659596
SimSpace	9	0.03125	0.0012866305592680455
SimSpace	9	0.041666666666666664	0.0017656726958237626
SimSpace	9	0.05208333333333333	0.0017889753580908954
SimSpace	9	0.0625	0.0016171287837995901
SimSpace	9	0.07291666666666666	0.001360933263316863
SimSpace	9	0.08333333333333333	0.0008566707115680028
SimSpace	9	0.09375	0.0003477198941549131
SimSpace	9	0.10416666666666666	-0.0005307664686973468
SimSpace	9	0.11458333333333333	-0.0014541317897229372
SimSpace	9	0.125	-0.0025095464007105633
SimSpace	9	0.13541666666666666	-0.003691389441065618
SimSpace	9	0.14583333333333331	-0.004988117412768445
SimSpace	9	0.15625	-0.006482762935263675
SimSpace	9	0.16666666666666666	-0.008024654932678954
SimSpace	9	0.17708333333333331	-0.009748380092177655
SimSpace	9	0.1875	-0.011652289675613797
SimSpace	9	0.19791666666666666	-0.013653830913440052
SimSpace	9	0.20833333333333331	-0.015818409561451474
SimSpace	9	0.21875	-0.018098278208359797
SimSpace	9	0.22916666666666666	-0.02049668379823591
SimSpace	9	0.23958333333333331	-0.023041374884557347
SimSpace	9	0.25	-0.025663630955692435
