col,row,B_Cells,CD4+_T_Cells,CD8+_T_Cells,DCIS_2,Endothelial,IRF7+_DCs,Invasive_Tumor,Macrophages_1,Macrophages_2,Myoepi_ACTA2+,Myoepi_KRT15+,Perivascular-Like,Stromal,Stromal_&_T_Cell_Hybrid
55,85,0.0,0.03571428571428571,0.03571428571428571,0.21428571428571427,0.0,0.0,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.0,0.0,0.0,0.5,0.0
55,95,0.0,0.03225806451612903,0.03225806451612903,0.3225806451612903,0.0,0.0,0.0,0.16129032258064516,0.0,0.03225806451612903,0.0,0.0,0.41935483870967744,0.0
55,105,0.0,0.0,0.16129032258064516,0.06451612903225806,0.0,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.6129032258064516,0.0
55,115,0.0,0.0,0.0,0.3548387096774194,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.4838709677419355,0.03225806451612903
55,125,0.0,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.5714285714285714,0.0
55,135,0.12903225806451613,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.5806451612903226,0.03225806451612903
55,145,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.17391304347826086,0.0,0.043478260869565216,0.0,0.0,0.5652173913043478,0.0
65,5,0.0,0.0,0.02631578947368421,0.3157894736842105,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.6052631578947368,0.0
65,15,0.023255813953488372,0.046511627906976744,0.09302325581395349,0.18604651162790697,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.5581395348837209,0.0
65,25,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.2894736842105263,0.02631578947368421,0.0,0.02631578947368421,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.4473684210526316,0.0
