dataset	topology	difficulty	domain_fold_change	layout_seed	method	method_display	method_seed	status	wall_time_seconds	peak_rss_mb	error_type	error_message	truth_boundary_fraction	domain_cell_type_nmi	adjusted_rand_index	normalized_mutual_information	boundary_precision	boundary_recall	boundary_f1	produced_cluster_count
irregular_mrf_seed0_hard	irregular_mrf	hard	2.0	0	stagate	STAGATE	100100	success	225.9140409999527	1270.796875			0.29233333333333333	0.009254599872580253	0.8722335459071954	0.8198975043230198	1.0	0.8597491448118586	0.9245861434702637	4.0
irregular_mrf_seed0_hard	irregular_mrf	hard	2.0	0	banksy	BANKSY	100100	success	16.373				0.29233333333333333	0.009254599872580253	0.21332814300130698	0.2350375889040359	0.5595854922279793	0.314709236031927	0.40285436263379826	4.0
irregular_mrf_seed0_hard	irregular_mrf	hard	2.0	0	spagcn	SpaGCN	100100	success	5.224188833031803	872.109375			0.29233333333333333	0.009254599872580253	0.003717360984588605	0.008666744538707338	0.5310485239226331	1.0	0.6937056737588653	4.0
irregular_mrf_seed0_hard	irregular_mrf	hard	2.0	0	spclue	spCLUE	100100	success	27.409251666860655	1234.140625			0.29233333333333333	0.009254599872580253	0.8499406374935063	0.792997372873764	1.0	0.8072976054732041	0.8933753943217665	4.0
irregular_mrf_seed0_hard	irregular_mrf	hard	2.0	0	stlearn	stLearn	100100	success	7.596696249907836	2592.8125			0.29233333333333333	0.009254599872580253	0.0029133378286867206	0.005128483545687115	0.527345164795364	0.9977194982896237	0.6899937635179066	4.0
irregular_mrf_seed0_hard	irregular_mrf	hard	2.0	0	expression_pca_kmeans	Expression-only control	100100	success	0.5540701660793275	377.265625			0.29233333333333333	0.009254599872580253	0.0021844837595362985	0.0067886342873581754	0.5343221800620904	1.0	0.6964928057553956	4.0
irregular_mrf_seed0_moderate	irregular_mrf	moderate	3.0	0	graphst	GraphST	100100	success	90.14031849987805	1210.34375			0.29233333333333333	0.009254599872580253	0.8876683172723456	0.836524580935379	1.0	0.8620296465222349	0.9259032455603183	4.0
irregular_mrf_seed0_moderate	irregular_mrf	moderate	3.0	0	stagate	STAGATE	100100	success	226.1087670829147	1264.453125			0.29233333333333333	0.009254599872580253	0.8804664186598862	0.8284624102743431	1.0	0.8586088939566705	0.9239263803680982	4.0
irregular_mrf_seed0_moderate	irregular_mrf	moderate	3.0	0	banksy	BANKSY	100100	success	17.684				0.29233333333333333	0.009254599872580253	0.2026769446011844	0.2354710344806196	0.6976744186046512	0.3112884834663626	0.43049751636048256	4.0
irregular_mrf_seed0_moderate	irregular_mrf	moderate	3.0	0	spagcn	SpaGCN	100100	success	5.508884749840945	887.34375			0.29233333333333333	0.009254599872580253	0.636772774325438	0.7118877869285989	0.6134543513080619	0.9737742303306728	0.7527158289592536	4.0
