seed	basis	basis_label	GeneID	Gene	is_direct	direction	configured_strength	coefficient_row	coefficient_col	latent_strength	observed_strength	n_cells
0	radial	Radial	105	Gene_105	False	Not applicable	0.0			-0.0	-0.011030741643718738	1604
0	radial	Radial	106	Gene_106	False	Not applicable	0.0			-0.0	0.0378986549312565	1604
0	radial	Radial	107	Gene_107	False	Not applicable	0.0			-0.0	0.014138876957021086	1604
0	radial	Radial	108	Gene_108	False	Not applicable	0.0			-0.0	-0.03632442408959124	1604
0	radial	Radial	109	Gene_109	False	Not applicable	0.0			-0.0	0.05579885826207168	1604
0	radial	Radial	110	Gene_110	False	Not applicable	0.0			-0.0	0.015341000579456974	1604
0	radial	Radial	111	Gene_111	False	Not applicable	0.0			-0.0	-0.11666797941668298	1604
0	radial	Radial	112	Gene_112	False	Not applicable	0.0			-0.0	0.10216064180995062	1604
0	radial	Radial	113	Gene_113	False	Not applicable	0.0			-0.0	0.10106359977973903	1604
0	radial	Radial	114	Gene_114	False	Not applicable	0.0			-0.0	-0.006658718156602548	1604
0	radial	Radial	115	Gene_115	False	Not applicable	0.0			-0.0	0.07236819048821158	1604
0	radial	Radial	116	Gene_116	False	Not applicable	0.0			-0.0	-0.024383644242957813	1604
0	radial	Radial	117	Gene_117	False	Not applicable	0.0			-0.0	-0.09183212627564087	1604
0	radial	Radial	118	Gene_118	False	Not applicable	0.0			-0.0	-0.0946742444011777	1604
0	radial	Radial	119	Gene_119	False	Not applicable	0.0			-0.0	0.054129018550093486	1604
0	hotspot	Hotspot	0	Gene_0	True	Not applicable	-1.0			-1.0	-1.052769184718745	1604
0	hotspot	Hotspot	1	Gene_1	True	Not applicable	-1.0			-1.0	-0.9898915902286234	1604
0	hotspot	Hotspot	2	Gene_2	True	Not applicable	-1.0			-0.9999999999999998	-0.987429296603917	1604
0	hotspot	Hotspot	3	Gene_3	True	Not applicable	-1.0			-1.0	-1.0353978393430048	1604
