dataset	seed	normalized_radius	centered_l
SimSpace	6	0.25	-0.026632968386088973
SimSpace	7	0.0	0.0
SimSpace	7	0.010416666666666666	-0.0014788802888152548
SimSpace	7	0.020833333333333332	5.131724179272337e-05
SimSpace	7	0.03125	0.0007508142330749507
SimSpace	7	0.041666666666666664	0.0009538136864909244
SimSpace	7	0.05208333333333333	0.0010151838156526594
SimSpace	7	0.0625	0.0008503730022759171
SimSpace	7	0.07291666666666666	0.0004696622852137511
SimSpace	7	0.08333333333333333	-0.00010890181178341285
SimSpace	7	0.09375	-0.0009435642398121918
SimSpace	7	0.10416666666666666	-0.001826958291058639
SimSpace	7	0.11458333333333333	-0.002777663685635298
SimSpace	7	0.125	-0.003996589115547539
SimSpace	7	0.13541666666666666	-0.005355240346109402
SimSpace	7	0.14583333333333331	-0.0067723722811744436
SimSpace	7	0.15625	-0.008366203467505634
SimSpace	7	0.16666666666666666	-0.01001435489962621
SimSpace	7	0.17708333333333331	-0.011757169518383515
SimSpace	7	0.1875	-0.013562388454362168
SimSpace	7	0.19791666666666666	-0.015453642457838451
SimSpace	7	0.20833333333333331	-0.017357838679920412
SimSpace	7	0.21875	-0.019407473388055846
SimSpace	7	0.22916666666666666	-0.021540817490996428
SimSpace	7	0.23958333333333331	-0.023765174057113536
SimSpace	7	0.25	-0.025976532255451296
SimSpace	8	0.0	0.0
SimSpace	8	0.010416666666666666	-0.0015508589531069462
SimSpace	8	0.020833333333333332	-3.913885162536157e-05
SimSpace	8	0.03125	0.0005398111673181952
SimSpace	8	0.041666666666666664	0.0006520085870355477
SimSpace	8	0.05208333333333333	0.0006062408537454642
SimSpace	8	0.0625	0.00012328188445243082
SimSpace	8	0.07291666666666666	-0.000366704790427122
SimSpace	8	0.08333333333333333	-0.0010622908280837062
SimSpace	8	0.09375	-0.001840222439579417
SimSpace	8	0.10416666666666666	-0.0028620817745580174
SimSpace	8	0.11458333333333333	-0.004040410416489254
SimSpace	8	0.125	-0.005268351530854795
SimSpace	8	0.13541666666666666	-0.006535293169247142
SimSpace	8	0.14583333333333331	-0.007936715111167086
SimSpace	8	0.15625	-0.009465400529106244
SimSpace	8	0.16666666666666666	-0.011045486670822002
SimSpace	8	0.17708333333333331	-0.01273064143404895
SimSpace	8	0.1875	-0.014512039122919013
SimSpace	8	0.19791666666666666	-0.01636709987605836
SimSpace	8	0.20833333333333331	-0.018311441317796356
SimSpace	8	0.21875	-0.020350665754740704
SimSpace	8	0.22916666666666666	-0.022403119771499475
SimSpace	8	0.23958333333333331	-0.02462565674234471
SimSpace	8	0.25	-0.026936809903215397
SimSpace	9	0.0	0.0
SimSpace	9	0.010416666666666666	-0.0010895141962260282
SimSpace	9	0.020833333333333332	0.00043339490676963174
SimSpace	9	0.03125	0.001301388204864834
SimSpace	9	0.041666666666666664	0.0017675447142568163
SimSpace	9	0.05208333333333333	0.0018293744364561368
SimSpace	9	0.0625	0.0016323787568262582
SimSpace	9	0.07291666666666666	0.001405292402513525
SimSpace	9	0.08333333333333333	0.0008575994210077015
SimSpace	9	0.09375	0.0002075894868685535
SimSpace	9	0.10416666666666666	-0.0005682285305205342
SimSpace	9	0.11458333333333333	-0.0015387429589069773
SimSpace	9	0.125	-0.0026439299400959487
SimSpace	9	0.13541666666666666	-0.0038234866079239205
SimSpace	9	0.14583333333333331	-0.005113406416157568
SimSpace	9	0.15625	-0.006619786121509014
SimSpace	9	0.16666666666666666	-0.008214459929410722
SimSpace	9	0.17708333333333331	-0.009944537740555953
SimSpace	9	0.1875	-0.011807001532281647
SimSpace	9	0.19791666666666666	-0.013808180864760877
SimSpace	9	0.20833333333333331	-0.015925130339193877
SimSpace	9	0.21875	-0.018202191450938182
SimSpace	9	0.22916666666666666	-0.020571654908037612
SimSpace	9	0.23958333333333331	-0.023080013217730122
SimSpace	9	0.25	-0.02567150367248916
