gene	reference_detection_fraction	simulated_detection_fraction	moran_i_reference	moran_i_simulated	geary_c_reference	geary_c_simulated
PTPRC	0.16043307086614172	0.2147580925861469	0.18955200821245138	0.11912807925763304	0.7825841780717521	0.857980216529742
PTRHD1	0.37303149606299213	0.35502958579881655	0.03645044525349075	0.013701635451629272	0.9616063311332337	0.9896289638751636
QARS	0.6609251968503937	0.641837800208841	0.047924167420949446	0.03269152458156498	0.9497191652323049	0.9693642971958111
RAB30	0.11466535433070867	0.1117298990602158	0.009865691059067106	0.024640640103943835	0.9740182964654117	0.9633048663987366
RAMP2	0.09891732283464567	0.11277410372432997	0.1736219743649475	0.1819905876925167	0.808903440370307	0.7768010377683685
RAPGEF3	0.14025590551181102	0.13191785589975635	0.020630502779317075	0.02096670175992683	0.9887385940245127	0.9804191882971541
RHOH	0.4714566929133858	0.4556213017751479	0.08738056775503289	0.03419245408883244	0.9130246039133189	0.9682029413655158
RORC	0.09251968503937008	0.08945353289244692	0.01188702452302584	0.0067872350800776875	0.9869032417979925	1.0130229772129307
RTKN2	0.22391732283464566	0.2203271841280891	0.03294404098114634	0.05000782682652474	0.9680064554418587	0.9546121521505763
RUNX1	0.6166338582677166	0.6032022276366168	0.040799587780262936	0.015457053823743622	0.9531052812790038	0.9779155946851165
S100A14	0.6687992125984252	0.6407935955447268	0.12935840897939235	0.08682758326549246	0.8664705294908346	0.9137591248307495
S100A4	0.1643700787401575	0.2053602506091194	0.10924113009611075	0.07993527469920476	0.8596362932876103	0.8960521370494184
SCD	0.9212598425196851	0.8959276018099548	0.3577544240751435	0.20721166002698418	0.6374147436432465	0.7816535465934978
SDC4	0.3080708661417323	0.28054298642533937	0.0513607298264529	0.024206271880868695	0.9509524339338752	0.9868654751589707
SEC11C	0.5684055118110236	0.5697876783849635	0.054284953744072405	0.010798090532799717	0.9414786592143025	0.9839183203858363
SEC24A	0.6008858267716536	0.5725722241559346	0.03071430443681568	0.010974878920923749	0.9652357144241622	0.9895046580791833
SERHL2	0.6781496062992126	0.6460146188652977	0.15958595004131898	0.1348100876110281	0.8381750879489612	0.864550996436069
SERPINA3	0.09251968503937008	0.08632091890010442	0.022891356603938286	-0.006458989856263647	0.9484698465044744	0.994583830082527
SERPINB9	0.2824803149606299	0.2962060563870519	0.021242682071677066	0.0039396992160686045	0.9729826558626709	0.9884750853334845
SFRP4	0.06348425196850394	0.061956143404107204	0.1334286437562344	0.028176951996665128	0.8329632778875414	0.9446601855071152
SH3YL1	0.639763779527559	0.608771319178559	0.1451283766685394	0.08349011963572076	0.8502235560582563	0.9191104614936629
SLAMF7	0.05019685039370079	0.06578489383919248	0.1063905811800607	0.06427709365159207	0.8906890171655828	0.9071737944094921
SLC25A37	0.2234251968503937	0.2077967281587191	0.026114318395620423	0.007195040366450784	0.9726721036175351	0.9945938515828806
SLC5A6	0.4896653543307087	0.458405847546119	0.0776508065519127	0.07252596752943886	0.9206367591072792	0.9327644705739859
SMAP2	0.2839566929133858	0.2882004872955099	0.022274647357665805	0.008692050794411873	0.9676261642831514	0.9866243264970803
SMS	0.7613188976377953	0.7431256526279151	0.09983619239919467	0.04003455971395812	0.8960531898178402	0.9609555926660406
SQLE	0.5693897637795275	0.5426383571179951	0.06016020308506159	0.041220258276700804	0.9356475725313133	0.9610182947368107
SRPK1	0.5423228346456693	0.533588583362339	0.0487129108181493	0.027650617788415578	0.9485492612568133	0.9761252879367854
STC1	0.1968503937007874	0.17960320222763662	0.036894058980350496	0.02486868545795312	0.9647605657455588	0.9794399054928575
SVIL	0.47096456692913385	0.4441350504698921	0.031073607987414275	0.010276123605423506	0.9614988146657724	0.9901532406146225
TACSTD2	0.7775590551181102	0.7479986077271145	0.2121960402140816	0.18340264857503077	0.7801362043244374	0.8130687483099778
TCF4	0.14173228346456693	0.15941524538809607	0.12015771369628347	0.11076162848557107	0.8550599205723955	0.8479123498761792
TCIM	0.8149606299212598	0.7925513400626523	0.144932077685731	0.08260400699167883	0.8557787159817045	0.9140927175697883
TENT5C	0.6820866141732284	0.6578489383919248	0.10084178166895823	0.0541084490460513	0.8978119474916859	0.9402757305569482
TFAP2A	0.531003937007874	0.502262443438914	0.10002319646627461	0.0762825928065275	0.8962592000043317	0.9264791871221346
THAP2	0.17765748031496062	0.18517229376957883	-0.001977852251736307	-0.00030021713759487346	0.9909044845909416	1.0060631717225208
TIFA	0.16486220472440946	0.17786286112077968	0.014340727863291193	-0.0026126783674425428	0.9866761458548521	1.0065866497598852
TMEM147	0.7234251968503937	0.7138879220327184	0.08308546204373299	0.052872577013007814	0.9165607841783413	0.9487577101964727
TOMM7	0.9384842519685039	0.9338670379394362	0.10566557788790516	0.04284321776696938	0.8935650883898558	0.954519114724681
