genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
GZMA,0.34123674512546326,4,13,18.96868089946656,1.9190692187331737,-3015.837741518433,-2.620300391360161,0.9492283614611596,SE,2032,1.5226607311915709e-05,0.00033772467960480393,0.002895832061767578,6062.14258627166,-3164.3474715291495,148.50973001071634,0.0,0.0
HAVCR2,0.2923032531510274,4,15,18.96868089946656,2.4067479695564904,-1970.3468072779888,-2.1873860479177742,0.4636434141653011,SE,2032,2.471711484735014e-05,0.000627279111170703,0.0030159950256347656,3971.160717790771,-2054.1244681996286,83.77766092163984,0.0,0.0
HDC,0.3257062268840029,4,20,18.96868089946656,2.0579752679972607,-2826.2778179367556,-2.4590986412381275,0.7859025816480587,SE,2032,2.053713009021184e-05,0.00047292052138306876,0.0027849674224853516,5683.022739108304,-2923.3216620956964,97.04384415894083,0.0,0.0
HMGA1,0.5500400635074194,4,23,18.96868089946656,0.8131985338017087,-3157.4956167128216,-1.91012242488492,1.348800633058147,SE,2032,1.1349541942070445e-05,0.00021598220019349745,0.002074003219604492,6345.4583366604365,-3454.637378719071,297.14176200624934,0.0,0.0
HOOK2,0.24157791646705118,4,24,18.96868089946656,3.120834961456084,-1815.8586307219123,-2.308445565654385,0.43957834761213693,SE,2032,1.9614767419663646e-05,0.0006082243614942543,0.003648042678833008,3662.184364678618,-1896.0471470431112,80.1885163211989,0.0,0.0
HOXD8,0.45469992973877016,4,26,18.96868089946656,1.1921412903289397,-3346.8117902281588,-1.4580275010156278,1.1050813108132056,SE,2032,1.4353630329816006e-05,0.0002723659390711318,0.0023758411407470703,6724.090683691111,-3553.235557295563,206.42376706740424,0.0,0.0
HOXD9,0.21033498671336168,4,27,18.96868089946656,3.7320584937093484,-2433.524271143706,-1.157780564459655,0.22951242791340692,SE,2032,1.9828027518091962e-05,0.0007251174625180746,0.003013134002685547,4897.515645522205,-2497.6292839582065,64.1050128145007,1.2212453270876722e-15,1.776356839400251e-15
HPX,0.227396288445252,4,28,18.96868089946656,3.377462081586464,-1346.5924359128428,-2.4655741536267697,0.44296238379650726,SE,2032,3.350415366888001e-05,0.0011145242234838816,0.003545045852661133,2723.651975060479,-1401.4573318711298,54.86489595828698,1.291189377639057e-13,1.6378723606415102e-13
IGF1,0.21372482421027175,4,31,18.96868089946656,3.6570985147315778,-3062.6302146693824,-2.609762622194338,0.702747151329866,SE,2032,2.4552290360837043e-05,0.0008802978059288252,0.003317117691040039,6155.727532573558,-3122.623967169272,59.993752499889524,9.547918011776346e-15,1.3184696909242369e-14
IGSF6,0.28942115792858586,4,32,18.96868089946656,2.44061377925543,-2727.5565742697236,-2.0762800050475083,0.5770931246871891,SE,2032,2.4009988024605442e-05,0.0006151803280102948,0.003058195114135742,5485.58025177424,-2813.2113101029436,85.65473583322,0.0,0.0
