genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
FAM107B,0.2835298519600849,4,80,0.581959957860798,2.5268189552658513,-6870.142304192232,-2.1832001655424396,1.391337790287288,SE,6134,0.0002665105539330846,0.006967450487744259,0.007943868637084961,13775.17101776316,-6882.357057474699,12.214753282467427,0.00047413080368152727,0.0015568474150736717
FAM49A,2.0610341044938356e-09,4,176,0.581959957860798,485165195.4097903,-10768.981242387199,-6.0566673272899365,7.965131247027817e-08,SE,6134,0.06991381796569816,1.191703511144136e+16,0.003633260726928711,21572.848894153096,-10768.9812831565,4.076930053997785e-05,0.9949054744954494,0.9949060564104039
FASN,2.059982377788227e-09,4,48,1.4896103543693353,485165195.4097903,-9069.502093620795,-3.570886264317213,2.860443790749219e-08,SE,6134,5.675894718165393e-05,9684626510313.592,0.003917694091796875,18173.890596620287,-9069.50213467754,4.105674452148378e-05,0.994887546807307,0.9949060564104039
FBLIM1,2.0599823777882274e-09,4,89,1.4896103543693353,485165195.4097903,-6537.413504327029,-2.611775498465073,1.507696028829855e-08,SE,6134,0.0002923681754099375,49885995476362.625,0.0039708614349365234,13109.713418032754,-6537.413545218253,4.089122376171872e-05,0.9948978625324849,0.9949060564104039
FBLN1,2.059982377788227e-09,4,187,1.4896103543693353,485165195.4097903,-9943.251805629705,-3.063579315212951,2.2432616328628223e-08,SE,6134,3.488924979159799e-05,5953058860927.533,0.0044558048248291016,19921.390020638108,-9943.251846767926,4.1138220694847405e-05,0.9948824766176103,0.9949060564104039
FCER1G,2.053148094023963e-09,4,4,3.8128723082612765,485165195.4097903,-8558.200560494428,-0.9884588342210501,3.979462630567934e-09,SE,6134,7.198245463411807e-06,1236407570648.6448,0.004072904586791992,17151.287530367554,-8558.200602083285,4.1588857129681855e-05,0.9948545241499976,0.9949060564104039
FCGR3A,2.053148094023963e-09,4,22,3.8128723082612765,485165195.4097903,-8932.911167169827,-4.190216283214826,3.8410598527587584e-08,SE,6134,9.970854461045214e-06,1712645116665.541,0.004821062088012695,17900.70874371835,-8932.911208634207,4.1464380046818405e-05,0.9948622301195356,0.9949060564104039
FGL2,2.053148094023963e-09,4,63,3.8128723082612765,485165195.4097903,-9670.754310268487,-4.151553236734713,3.83499192722856e-08,SE,6134,3.0983281629516425e-05,5321847409204.083,0.004056692123413086,19376.39502991567,-9670.754351428464,4.115997762710322e-05,0.9948811235527117,0.9949060564104039
FLNB,2.0531480940239624e-09,4,68,3.8128723082612765,485165195.4097903,-8674.658103264912,-1.869418255157025,9.24484636966184e-09,SE,6134,9.33548857379107e-06,1603511412191.8706,0.004271030426025391,17384.20261590852,-8674.65814475284,4.148792868363671e-05,0.9948607714141229,0.9949060564104039
FOXA1,2.0531480940239624e-09,4,72,3.8128723082612765,485165195.4097903,-10842.815950146833,-8.209861089194288,1.430655360778593e-07,SE,6134,1.8094879449854325e-06,310806932821.2425,0.004175901412963867,21720.518309672363,-10842.815992559134,4.241230089974124e-05,0.9948038352960816,0.9949060564104039
FSTL3,2.053148094023963e-09,4,76,3.8128723082612765,485165195.4097903,-9892.699578098844,-2.977359331806252,2.1308589468216275e-08,SE,6134,0.0007973565948275368,136958059483027.95,0.004582881927490234,19820.285565576385,-9892.699618938394,4.083954991074279e-05,0.994901087268997,0.9949060564104039
GATA3,2.053148094023963e-09,4,82,3.8128723082612765,485165195.4097903,-9403.96425785729,-1.5878590219060351,7.78653962704066e-09,SE,6134,9.756391567192473e-06,1675807869737.7224,0.0046689510345458984,18842.814925093277,-9403.96429932938,4.1472090742900036e-05,0.994861752439743,0.9949060564104039
GJB2,2.053148094023963e-09,4,117,3.8128723082612765,485165195.4097903,-11013.689601797065,-9.003742070975319,1.7146953993503187e-07,SE,6134,1.2974120791494528e-06,222850154953.04605,0.0033941268920898438,22062.265612972828,-11013.689644508242,4.2711177229648456e-05,0.9947855592042283,0.9949060564104039
GLIPR1,0.1185292131188794,4,142,3.8128723082612765,7.4078543991915025,-9357.193932636445,-1.6668451608222048,0.24230976605194102,SE,6134,1.8395633182134405e-06,0.00015128301757123653,0.01607513427734375,18749.274274651587,-9519.543853594443,162.34992095799862,0.0,0.0
GPR183,2.053148094023963e-09,4,147,3.8128723082612765,485165195.4097903,-6929.832450611015,-2.217161665571269,1.1288121138281544e-08,SE,6134,1.1129309406394187e-05,1911627281411.8286,0.00400996208190918,13894.551310600726,-6929.8324920378,4.142678517382592e-05,0.9948645597689773,0.9949060564104039
GZMA,2.0531480940239633e-09,4,180,3.8128723082612765,485165195.4097903,-10198.466948457208,-2.626936449490502,1.757914370752391e-08,SE,6134,4.3536848570016464e-05,7478112471679.745,0.0038461685180664062,20431.820306293113,-10198.466989554767,4.109755900572054e-05,0.9948850063300523,0.9949060564104039
