,cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
785,52086,1591.3602050781249,2307.4310424804685,128,0,0,128,52.42640625,20.6815625,Invasive_Tumor
786,52087,1608.0772521972656,2311.2826049804685,381,0,0,381,205.19,63.44453125,Stromal
787,52088,1585.588671875,2317.3473632812497,237,0,0,237,106.026875,64.3928125,Invasive_Tumor
788,52089,1603.909844970703,2318.564465332031,88,0,0,88,66.10875,21.0428125,Invasive_Tumor
789,52090,1591.5402282714842,2322.52373046875,267,0,0,267,82.77140625,59.83203125,Invasive_Tumor
790,52091,1586.3812927246092,2334.3471557617186,144,0,0,144,129.146875,45.11109375,Stromal
791,52092,1625.3426696777344,2243.4123046875,278,0,0,278,336.32375,34.725156250000005,Macrophages_1
792,52093,1612.4703369140625,2253.5718383789062,220,1,0,221,196.20390625,25.106875,Macrophages_1
793,52094,1637.3875183105467,2255.713854980469,199,0,0,199,267.5959375,21.0428125,Macrophages_1
794,52095,1595.925323486328,2339.446325683594,144,0,0,144,158.408125,6.683125,Stromal
795,52096,1637.633740234375,2276.416418457032,202,0,0,202,249.3528125,14.9015625,Stromal
796,52097,1621.8604919433594,2272.56962890625,350,0,0,350,197.965,50.394375,Invasive_Tumor
797,52098,1588.5316101074218,2286.2484863281247,254,1,0,255,103.54328125,81.95859375,Prolif_Invasive_Tumor
798,52099,1594.3926879882813,2289.7175903320312,212,0,0,212,94.96359375,65.6571875,Invasive_Tumor
799,52100,1611.2115234375,2288.959729003906,85,0,0,85,34.81546875,14.31453125,Invasive_Tumor
