seed	basis	basis_label	basis_dimension	GeneID	Gene	is_direct	is_null	effect_role	effect_role_label	effect_scope	effect_scope_label	reference_state	target_state	direction	configured_strength	configured_coefficient_0	configured_coefficient_1	latent_coefficient_0	latent_coefficient_1	estimated_coefficient_0	estimated_coefficient_1	latent_strength	observed_strength	maximum_latent_spatial_vector_error	orthogonal_estimate_magnitude	full_log_likelihood	reduced_log_likelihood	likelihood_ratio	full_minus_reduced_log_likelihood	lrt_df	p_value	detection_alpha	detected	full_fit_converged	reduced_fit_converged	full_fit_iterations	reduced_fit_iterations	fixed_design_rank	fixed_design_columns	fixed_design_condition_number	n_cells	n_target_cells
19	hotspot	Hotspot	1	41	Gene_41	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.5	0.5		0.5000000000000002		0.46831936241665145		0.5000000000000002	0.46831936241665145	2.220446049250313e-16	0.0	26848.725387505874	26834.06103041193	29.32871418789	14.664357093945	1	6.108380996910727e-08	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	42	Gene_42	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.75	0.75		0.7500000000000003		0.6366427251706311		0.7500000000000003	0.6366427251706311	5.261222166551357e-16	0.0	25163.18158766815	25127.08666552621	72.18984428387921	36.094922141939605	1	1.9545907954154574e-17	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	43	Gene_43	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.75	0.75		0.7499999999999994		0.7345693657226945		0.7499999999999994	0.7345693657226945	1.7622471884311711e-15	0.0	32064.270241125985	32003.784771846687	120.97093855859566	60.48546927929783	1	3.8777093503636496e-28	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	44	Gene_44	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.75	0.75		0.7500000000000006		0.6776024811052608		0.7500000000000006	0.6776024811052608	7.803231547644377e-16	0.0	43384.199842390466	43329.964935468095	108.46981384474202	54.23490692237101	1	2.120553927139805e-25	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	45	Gene_45	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	1.0	1.0		1.0000000000000004		1.0460954189942204		1.0000000000000004	1.0460954189942204	4.440892098500626e-16	0.0	31814.99807569275	31741.536516969627	146.9231174462475	73.46155872312374	1	8.157144660566618e-34	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	46	Gene_46	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	1.0	1.0		1.0000000000000002		1.0086930271056533		1.0000000000000002	1.0086930271056533	4.668537769452429e-16	0.0	36311.634322453625	36202.65663215276	217.95538060173567	108.97769030086783	1	2.5256693032468945e-49	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	47	Gene_47	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	1.0	1.0		0.9999999999999998		1.0932446530039792		0.9999999999999998	1.0932446530039792	9.81181954832754e-16	0.0	51135.614915547485	50991.43376493397	288.36230122702545	144.18115061351273	1	1.1308356231634914e-64	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	48	Gene_48	True	False	state_2	Type 2 deviation	cell_type_specific	Cell-type-specific fk	0	2.0	Not applicable	-1.0	-1.0		-1.0000000000000002		-1.2573029923980925		-1.0000000000000002	-1.2573029923980925	5.210279579301267e-16	0.0	21910.274897745956	21825.247529950568	170.05473559077654	85.02736779538827	1	7.197997636001689e-39	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	391
19	hotspot	Hotspot	1	49	Gene_49	True	False	state_2	Type 2 deviation	cell_type_specific	Cell-type-specific fk	0	2.0	Not applicable	-1.0	-1.0		-0.9999999999999994		-0.8978643490672404		-0.9999999999999994	-0.8978643490672404	5.551115123125783e-16	0.0	34503.60008620248	34445.80844673732	115.58327893032401	57.79163946516201	1	5.864392385277473e-27	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	391
19	hotspot	Hotspot	1	50	Gene_50	True	False	state_2	Type 2 deviation	cell_type_specific	Cell-type-specific fk	0	2.0	Not applicable	-1.0	-1.0		-0.9999999999999983		-1.009498942439228		-0.9999999999999983	-1.009498942439228	2.098968008527092e-15	0.0	53005.39725286274	52961.75938043362	87.27574485824152	43.63787242912076	1	9.439848927277535e-21	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	391
