genes,gene,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
FOXA1,FOXA1,0.19734909872309317,4,CD3E,0.682440015821231,4.066731129755427,-4615.8089008367915,0.838330369688848,0.3434420634248739,SE,3171,0.0013117919385427124,0.052000741079562963,0.011165857315063477,9263.865010771737,-4618.833186198504,3.0242853617128276,0.08202645087873972,0.5307521750369208
FSTL3,FSTL3,0.19018021357630932,4,CD3G,0.682440015821231,4.2577186782862055,-3562.1334548496216,-0.7259757966677547,0.2000728786095059,SE,3171,0.002179218485682914,0.09064004968185058,0.010317087173461914,7156.514118797397,-3564.3154507192926,2.1819958696710273,0.13963327899803524,0.5874994118861732
GATA3,GATA3,3.84606521402929e-09,4,CD4,0.682440015821231,259978398.58878398,-5218.806926263442,-1.2360018279663736,1.1931135877801394e-08,SE,3171,0.017028338262887795,833517150159969.8,0.001895904541015625,10469.861061625037,-5218.8070051514005,7.888795880717225e-05,0.9929133707748136,0.9929148290102869
GJB2,GJB2,0.12807537216559942,4,GZMA,0.682440015821231,6.80717989437831,-3675.9490710557957,-0.3763845949293156,0.09369557909238004,SE,3171,0.004100149036809788,0.299312569760782,0.01053476333618164,7384.145351209745,-3677.3661541368483,1.417083081052624,0.23388411087174432,0.6596731332279968
GLIPR1,GLIPR1,0.28151819833892133,4,LPXN,0.682440015821231,2.5518973904126807,-4128.719000097396,-1.4185682920114726,0.7450972401545308,SE,3171,0.0010144640949427248,0.026709694724318563,0.003536224365234375,8289.685209292946,-4134.715048468591,5.9960483711947745,0.01433795795082693,0.2190639525755964
GPR183,GPR183,0.240389072505382,4,RAMP2,0.682440015821231,3.159587534286485,-4167.2228646094245,-1.7383954451089298,0.8713693322988647,SE,3171,0.0007862245619174494,0.024516986442994427,0.003487110137939453,8366.692938317003,-4175.149259946775,7.926395337350186,0.004871875892808686,0.11576038053425441
GZMA,GZMA,2.0594148180744426e-09,4,CYTIP,1.7063230033817542,485165195.4097903,-4182.226752586012,-0.9855652712585504,3.689473014195947e-09,SE,3171,0.0053894402986944,920092635903136.0,0.0021560192108154297,8396.700714270177,-4182.22683147243,7.888641812314745e-05,0.9929134399743645,0.9929148290102869
HAVCR2,HAVCR2,2.0594148180744426e-09,4,FLNB,1.7063230033817542,485165195.4097903,-5513.289738522624,-7.799203082762481,1.29281721405532e-07,SE,3171,0.0008665126411153922,147932225949397.62,0.0023050308227539062,11058.826686143402,-5513.289817454393,7.893176916695666e-05,0.9929114033229874,0.9929148290102869
HDC,HDC,2.0594148180744426e-09,4,IL7R,1.7063230033817542,485165195.4097903,-4658.229837944233,-0.15121829501130254,2.3253837423410537e-09,SE,3171,0.01845574466336937,3150790028973589.5,0.002122163772583008,9348.70688498662,-4658.229916816701,7.887246829341166e-05,0.9929140665592672,0.9929148290102869
HMGA1,HMGA1,2.0594148180744426e-09,4,POLR2J3,1.7063230033817542,485165195.4097903,-3953.62274725709,-6.106636337080546,7.832331931581969e-08,SE,3171,0.0006205461589405257,105940490929544.28,0.0021131038665771484,7939.492703612334,-3953.6228262026007,7.894551072240574e-05,0.9929107863246415,0.9929148290102869
