Gene,C,Z,Pval,FDR
CCPG1,0.0015271929458444264,0.6003362,0.27414110092544275,0.43192015181778387
ITGAM,0.0012292814872981036,0.5786243,0.281421349571362,0.44022339682948775
JUP,0.001665049178588188,0.56616515,0.28564075937853173,0.44365479648154926
SELL,0.0008947621977449401,0.53124493,0.2976245295597413,0.4590124786872066
DSP,0.001409868470258382,0.47511256,0.31735337423595733,0.48601670599772484
LARS,0.0013212625884983424,0.46057358,0.32255228374459805,0.4905482648615762
ACTG2,0.0012188930138548094,0.44337618,0.32874682983682724,0.4965210740294149
CCL8,0.0008313872613864354,0.41191813,0.34019971458072995,0.510299571871095
PDE4A,0.0008827464159355845,0.3796817,0.3520908506123176,0.524543512136718
MZB1,0.0007981517996988164,0.3608839,0.35909312296490653,0.5313607697926658
STC1,0.0009444082437216164,0.34510127,0.365009120447782,0.5334552794074698
FAM107B,0.0008179369698515358,0.33891872,0.3673354824499175,0.5334552794074698
C6orf132,0.0009093829019867825,0.33400753,0.3691869377441809,0.5334552794074698
FSTL3,0.0008051150471176888,0.33118582,0.3702520660727644,0.5334552794074698
ZNF562,0.0009670386813550119,0.3144038,0.3766071843797101,0.5390651854846831
S100A14,0.0008132590315749528,0.284022,0.3881967592159703,0.5520460407032305
MRC1,0.0004448303386601872,0.24783924,0.4021293955121019,0.5681699201106473
TUBA4A,0.0006566867832122594,0.23724194,0.40623455123308105,0.5702908123079792
LPL,0.0003372959314083402,0.22105223,0.4125258827641688,0.5754341931551145
RAPGEF3,0.0005658416276412844,0.21011727,0.41678807514019245,0.5776999269348237
BTNL9,0.0004102911083812649,0.19751294,0.421713078286006,0.5808500889599706
DMKN,0.0005486709746931939,0.18147574,0.4279970853959578,0.5829191578424217
HMGA1,0.0005288988255560471,0.18009564,0.42853874161018213,0.5829191578424217
POLR2J3,0.00043903679283270147,0.14766926,0.441301897976386,0.5940711404854673
MEDAG,0.00028918751812084245,0.14548865,0.4421625383521971,0.5940711404854673
HPX,0.00025629093404790554,0.10535367,0.45804758935436685,0.6116611101744289
SDC4,0.0002544969250965148,0.08831164,0.4648144929036008,0.6169355996720519
OXTR,0.0001523503217280186,0.060576238,0.4758483491500422,0.6264075682207367
DSC2,0.00014874981464176918,0.05599844,0.47767152462494533,0.6264075682207367
FLNB,-2.1449282666431305e-05,-0.0075411126,0.503008440143896,0.6557074309018645
DAPK3,-0.00020981489669137882,-0.08167773,0.5325485049354488,0.6901072342062916
ADAM9,-0.00030248789811410543,-0.104705416,0.5416952177463681,0.6978308981556154
PELI1,-0.0002951923804567098,-0.11406777,0.5454079645941475,0.698504937111803
NOSTRIN,-0.0002782745075507335,-0.13139899,0.5522701564968773,0.700858270654024
SEC24A,-0.00038082862618450284,-0.1348785,0.5536460311559185,0.700858270654024
WARS,-0.0004794875971573178,-0.17082903,0.5678208981976177,0.7146711304901051
MNDA,-0.0003401981030818074,-0.22782621,0.5901093242602442,0.7349980438411984
TCIM,-0.0006625062628159382,-0.22930318,0.5906833594340224,0.7349980438411984
